from,to,relation,weight,year
PR,Ziffer1,1,NA,NA
PR,Ziffer2,1,NA,NA
PR,Ziffer6,1,NA,NA
PR,Ziffer7,1,NA,NA
PR,Ziffer8,1,NA,NA
PR,Ziffer11,1,NA,NA
Ziffer1,Volksstimme1,2,1,2020
Ziffer1,FNP1,2,1,1990
Ziffer2,Bild2,2,1,2020
Ziffer2,MZ1,2,1,1990
Ziffer4,HM1,2,1,1990
Ziffer6,BZ1,2,1,2020
Ziffer7,Maedchen1,2,1,2020
Ziffer7,Hoerzu1,2,1,2020
Ziffer7,GM1,2,1,2020
Ziffer7,TZ1,2,1,1990
Ziffer8,SHZ1,2,1,2020
Ziffer8,Bild2,2,1,2020
Ziffer8,Bild3,2,1,2020
Ziffer8,Bild4,2,1,2020
Ziffer8,WAZ1,2,2,1990
Ziffer8,DE1,2,2,1990
Ziffer9,RK1,2,1,1990
Ziffer10,DP1,2,1,1990
Ziffer10,MZ1,2,1,1990
Ziffer11,Bild1,2,1,2020
Ziffer12,FNP1,2,1,1990
Ziffer12,MM1,2,1,1990
Ziffer12,MZ2,2,1,1990
Ziffer13,AZ1,2,2,1990